,l1,l2,l3,l4,l5,l6,l7,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,l22,l23,l24,l25,l26,l27,l28,l29,l30,l31,l32,l33,l34,l35,l36,l37,l38,l39,l40,l41,l42,l43,l44,l45,l46,l47,l48,l49,l50,l51,l52,l53,l54,l55,l56,l57,l58,l59,l60,l61,l62,l63,l64,l65,l66,l67,l68,l69,l70,l71,l72,l73,l74,l75,l76,l77,l78,l79,l80,l81,l82,l83,l84,l85,l86,l87,l88,l89,l90,l91,l92,l93,l94,l95,l96,l97,l98,l99,l100,l101,l102,l103,l104,l105,l106,l107,l108,l109,l110,l111,l112,l113,l114,l115,l116,l117,l118,l119,l120,l121,l122,l123,l124,l125,l126,l127,l128,l129,l130,l131,l132,l133,l134,l135,l136,l137,l138,l139,l140,l141,l142,l143,l144,l145,l146,l147,l148,l149,l150,wave,l45a,l46a,l48a,l140a,l140b,l140c,l140d,l141a,l141b,l141c,l141d,l142a,l142b,l142c,l142d,l143a,l143b,l143c,l143d,l94a,l99a,l104a,l109a,l114a,l119a,l124a,l129a,l134a,l139a,l144a,l144b,l144c,l144d,l11a,l74a,l75a,l76a,l77a,l78a,l80a,l145a,l145b,l145c,l145d,l145e,l151,l152,l140e,l141e,l142e,l144e,l145f,l143e,l140f,l141f,l142f,l144f,l145g,l143f,l152a,l152b,l140g,l141g,l142g,l143g,l152c,l152d,l8_1,l8_2,l12a,l140h,l141h,l142h,l143h,l153,l152e,l152f,l152g,l152h,l140i,l141i,l142i,l143i,l200,l201,l202,l203,l204,l205,l57b,l58b,l60b,hhid,commid,t1,t2,t3,t4,t5,l1a,l1b,l1c,l2a,l3a,l18a,l18b,l18c,l140j,l141j,l142j,l140k,l141k,l142k,l140l,l140m,l140n,l141l,l141m,l141n,l142l,l142m,l142n,fm,l18p
15108,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,120.0,4.0,150000.0,0.0,,,,1.0,3.0,,900.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,2.0,0.0,4000.0,,1.0,1.0,0.0,500.0,,1.0,1.0,0.0,2000.0,,1.0,1.0,0.0,2200.0,,1.0,1.0,0.0,200.0,,1.0,4.0,0.0,400.0,,,,,,,1.0,1.0,0.0,300.0,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,3500.0,1.0,1.0,0.0,,,100.0,,,1.0,1.0,0.0,500.0,,,4.0,1.0,,1.0,1.0,0.0,600.0,2.0,,,,,0.0,,,,1.0,0.0,,,,,0.0,,,371201052.0,371201.0,37.0,1.0,2.0,1.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,
15117,2.0,,5.0,1.0,5.0,1.0,1.0,,,,,,,,300.0,8.0,30000.0,1.0,1.0,,350.0,1.0,2.0,,300.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,2.0,0.0,2300.0,,1.0,1.0,0.0,600.0,,1.0,1.0,2.0,2000.0,,0.0,,,,,1.0,1.0,0.0,300.0,,1.0,3.0,0.0,300.0,,,,,,,1.0,1.0,0.0,2000.0,,,,,,,,2009.0,,,,0.0,0.0,1.0,,,,1.0,,,,0.0,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,3000.0,1.0,1.0,0.0,,,800.0,,,1.0,1.0,0.0,300.0,,,4.0,1.0,,1.0,3.0,0.0,3000.0,2.0,,,,,1.0,1.0,0.0,150.0,1.0,1.0,0.0,,3000.0,,0.0,,,371201062.0,371201.0,37.0,1.0,2.0,1.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,
15123,1.0,,5.0,1.0,1.0,2.0,1.0,,,,,,,,60.0,5.0,60000.0,1.0,2.0,,600.0,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2000.0,,1.0,1.0,0.0,600.0,,1.0,1.0,0.0,2500.0,,0.0,,,,,1.0,1.0,0.0,200.0,,1.0,3.0,0.0,300.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,100.0,,,0.0,,,,,,4.0,1.0,,0.0,,,,1.0,,,,,1.0,1.0,0.0,150.0,1.0,1.0,0.0,,-99999.0,,0.0,,,371201063.0,371201.0,37.0,1.0,2.0,1.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,
15128,1.0,,5.0,1.0,1.0,2.0,1.0,,50.0,,,,,,60.0,6.0,100000.0,1.0,1.0,,400.0,1.0,2.0,,500.0,0.0,,,,1.0,2.0,,130000.0,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,2.0,0.0,3000.0,,1.0,1.0,0.0,800.0,,1.0,1.0,0.0,2000.0,,0.0,,,,,1.0,1.0,0.0,200.0,,1.0,2.0,0.0,200.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,4000.0,1.0,1.0,0.0,,,100.0,,,1.0,1.0,0.0,500.0,,,4.0,1.0,,1.0,2.0,0.0,1100.0,1.0,,,,,1.0,1.0,0.0,150.0,0.0,,,,,1.0,0.0,,,371201064.0,371201.0,37.0,1.0,2.0,1.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,
15142,1.0,,5.0,1.0,5.0,2.0,1.0,,,,,,,,70.0,5.0,22000.0,0.0,,,,1.0,1.0,,300.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2000.0,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,200.0,,1.0,2.0,0.0,100.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,200.0,,,0.0,,,,,,4.0,2.0,,0.0,,,,1.0,,,,,0.0,,,,1.0,1.0,0.0,,-99999.0,,0.0,,,371201082.0,371201.0,37.0,1.0,2.0,1.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,
15145,2.0,,5.0,1.0,5.0,2.0,1.0,,,,,,,,100.0,5.0,50000.0,0.0,,,,1.0,2.0,,300.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2000.0,,1.0,1.0,0.0,300.0,,1.0,1.0,0.0,2000.0,,0.0,,,,,1.0,1.0,0.0,200.0,,1.0,2.0,0.0,300.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,100.0,,,0.0,,,,,,4.0,1.0,,0.0,,,,1.0,,,,,0.0,,,,1.0,1.0,0.0,,-99999.0,,0.0,,,371201083.0,371201.0,37.0,1.0,2.0,1.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,
15152,1.0,,5.0,1.0,5.0,1.0,1.0,,,,,,,,120.0,4.0,24000.0,0.0,,,,1.0,1.0,,400.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,1800.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,120.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,0.0,1.0,,,,1.0,,,,0.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,150.0,,,0.0,,,,,,4.0,1.0,,0.0,,,,1.0,,,,,0.0,,,,1.0,1.0,0.0,,12000.0,,0.0,,,371201085.0,371201.0,37.0,1.0,2.0,1.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,
15156,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,90.0,4.0,150000.0,0.0,,,,1.0,2.0,,800.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2000.0,,1.0,1.0,0.0,800.0,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,2.0,0.0,160.0,,,,,,,1.0,1.0,0.0,1450.0,,,,,,,,2009.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.0,0.0,0.0,,240.0,90.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,3500.0,1.0,1.0,0.0,,,120.0,,,1.0,1.0,0.0,600.0,,,4.0,2.0,,1.0,2.0,0.0,1600.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,20000.0,,0.0,,,371201101.0,371201.0,37.0,1.0,2.0,1.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,
15160,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,240.0,8.0,240000.0,0.0,,,,1.0,2.0,,3200.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2400.0,,0.0,,,,,1.0,1.0,0.0,1800.0,,0.0,,,,,0.0,,,,,1.0,2.0,0.0,240.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,0.0,1.0,,,,1.0,,,,0.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,150.0,,,0.0,,,,,,4.0,2.0,,0.0,,,,1.0,,,,,0.0,,,,1.0,1.0,0.0,,80000.0,,0.0,,,371201102.0,371201.0,37.0,1.0,2.0,1.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,
15164,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,140.0,5.0,100000.0,1.0,1.0,,400.0,1.0,1.0,,200.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,1500.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,4.0,0.0,400.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,1.0,,,1.0,1.0,,,0.0,0.0,,,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,4.0,2.0,,1.0,1.0,0.0,1000.0,1.0,,,,,1.0,1.0,0.0,120.0,1.0,1.0,0.0,,-99999.0,,0.0,,,371201103.0,371201.0,37.0,1.0,2.0,1.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,
15167,2.0,,5.0,1.0,4.0,3.0,1.0,,,,,,,,55.0,3.0,12000.0,0.0,,,,1.0,2.0,,520.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,1200.0,,1.0,1.0,0.0,800.0,,1.0,1.0,0.0,2100.0,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,210.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,100.0,,,0.0,,,,,,1.0,2.0,,0.0,,,,1.0,,,,,0.0,,,,1.0,1.0,0.0,,5000.0,,0.0,,,371201121.0,371201.0,37.0,1.0,2.0,1.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,
15170,2.0,,5.0,1.0,4.0,1.0,1.0,,50.0,,,,,,60.0,3.0,-99999.0,0.0,,,,1.0,2.0,,400.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2200.0,,0.0,,,,,1.0,1.0,0.0,2100.0,,0.0,,,,,1.0,1.0,0.0,-9999.0,,1.0,1.0,0.0,180.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,-9999.0,,,0.0,,,,,,1.0,6.0,,0.0,,,,1.0,,,,,0.0,,,,0.0,,,,,1.0,0.0,,,371201122.0,371201.0,37.0,1.0,2.0,1.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,
15173,1.0,,5.0,0.0,1.0,2.0,1.0,,,,,,,,90.0,5.0,-99999.0,0.0,,,,1.0,1.0,,1700.0,1.0,1.0,,4000.0,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,3000.0,,1.0,1.0,0.0,1600.0,,1.0,1.0,0.0,2000.0,,1.0,1.0,0.0,1500.0,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,1.0,,,1.0,1.0,,,0.0,0.0,,,100.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,2000.0,1.0,1.0,0.0,,,80.0,,,1.0,1.0,0.0,600.0,,,2.0,4.0,,1.0,2.0,0.0,2000.0,1.0,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,371201123.0,371201.0,37.0,1.0,2.0,1.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,
15176,1.0,,5.0,1.0,1.0,2.0,1.0,,,,,,,,100.0,5.0,120000.0,0.0,,,,1.0,2.0,,700.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2000.0,,1.0,1.0,0.0,1500.0,,0.0,,,,,1.0,1.0,0.0,1800.0,,0.0,,,,,1.0,1.0,0.0,100.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,4.0,,1.0,2.0,0.0,1600.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,100000.0,,0.0,,,371201124.0,371201.0,37.0,1.0,2.0,1.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,
15179,1.0,,5.0,1.0,5.0,3.0,1.0,,,,,,,,400.0,10.0,50000.0,0.0,,,,0.0,,,,1.0,2.0,,7000.0,0.0,,,,,,0.0,,,,0.0,,,,,,,,1.0,1.0,,400.0,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,1000.0,,1.0,1.0,0.0,1800.0,,1.0,1.0,0.0,2200.0,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,100.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,100.0,,,1.0,1.0,0.0,400.0,,,6.0,1.0,,1.0,1.0,0.0,800.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,30000.0,,0.0,,,371201125.0,371201.0,37.0,1.0,2.0,1.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,
15209,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,220.0,8.0,320000.0,0.0,,,,1.0,2.0,,3200.0,1.0,1.0,,4800.0,1.0,3.0,,540000.0,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,1.0,1.0,0.0,3000.0,,,,,,,1.0,2.0,0.0,3400.0,,1.0,1.0,0.0,1200.0,,1.0,2.0,0.0,4200.0,,1.0,3.0,0.0,8000.0,,1.0,1.0,0.0,100.0,,1.0,4.0,0.0,400.0,,,,,,,1.0,1.0,0.0,1800.0,,,,,,,,2009.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.0,0.0,0.0,,320.0,80.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,,,4800.0,1.0,1.0,0.0,,,180.0,,,1.0,1.0,0.0,1800.0,,,4.0,2.0,,1.0,4.0,0.0,4600.0,2.0,,,,,0.0,,,,1.0,1.0,0.0,,150000.0,,0.0,,,371202005.0,371202.0,37.0,1.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
15219,1.0,,5.0,1.0,4.0,2.0,1.0,,,,,,,,80.0,5.0,50000.0,1.0,1.0,,500.0,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,1000.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,100.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,80.0,,,0.0,,,,,,6.0,3.0,,0.0,,,,1.0,,,,,0.0,,,,1.0,0.0,,,,,0.0,,,371202006.0,371202.0,37.0,1.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
15258,1.0,,5.0,1.0,4.0,3.0,1.0,,-999.0,,,,,,40.0,3.0,-99999.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,800.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,100.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,1.0,,,0.0,,,,1.0,,,,,0.0,,,,0.0,,,,,1.0,0.0,,,371202014.0,371202.0,37.0,1.0,2.0,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
15284,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,170.0,8.0,220000.0,1.0,1.0,,2000.0,1.0,2.0,,3000.0,0.0,,,,1.0,1.0,,60000.0,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,3400.0,,1.0,1.0,0.0,1750.0,,1.0,1.0,0.0,2200.0,,1.0,2.0,0.0,5000.0,,1.0,1.0,0.0,180.0,,1.0,2.0,0.0,800.0,,,,,,,1.0,1.0,0.0,2000.0,,,,,,,,2009.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.0,0.0,0.0,,360.0,90.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,4200.0,1.0,2.0,0.0,,,240.0,,,1.0,1.0,0.0,1800.0,,,4.0,2.0,,1.0,2.0,0.0,1800.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,46000.0,,0.0,,,371202041.0,371202.0,37.0,1.0,2.0,2.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,
15291,2.0,,3.0,1.0,6.0,3.0,1.0,,,,,,,,80.0,5.0,10000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,120.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,6.0,1.0,,0.0,,,,0.0,,,,,0.0,,,,1.0,0.0,,,,,0.0,,,371202042.0,371202.0,37.0,1.0,2.0,2.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,
15313,2.0,,5.0,1.0,5.0,2.0,1.0,,0.0,,,,,,60.0,5.0,23000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,1000.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,100.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,1.0,4.0,,0.0,,,,1.0,,,,,0.0,,,,0.0,,,,,1.0,0.0,,,371202065.0,371202.0,37.0,1.0,2.0,2.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,
15326,1.0,,5.0,1.0,4.0,1.0,1.0,,,,,,,,120.0,3.0,82000.0,0.0,,,,1.0,2.0,,800.0,1.0,1.0,,1600.0,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2300.0,,1.0,1.0,0.0,800.0,,1.0,1.0,0.0,2000.0,,0.0,,,,,1.0,1.0,0.0,180.0,,1.0,2.0,0.0,120.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,1.0,1.0,0.0,800.0,,,4.0,1.0,,1.0,2.0,0.0,1400.0,1.0,,,,,0.0,,,,1.0,0.0,,,,,0.0,,,371202081.0,371202.0,37.0,1.0,2.0,2.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,
15331,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,90.0,3.0,120000.0,0.0,,,,1.0,2.0,,3200.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2300.0,,1.0,1.0,0.0,1750.0,,1.0,1.0,0.0,2000.0,,0.0,,,,,0.0,,,,,1.0,2.0,0.0,320.0,,,,,,,1.0,1.0,0.0,1400.0,,,,,,,,2009.0,,,,1.0,0.0,1.0,,1.0,,1.0,,0.0,,0.0,,290.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,3200.0,1.0,1.0,0.0,,,120.0,,,0.0,,,,,,4.0,2.0,,1.0,2.0,0.0,1800.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,62000.0,,0.0,,,371202082.0,371202.0,37.0,1.0,2.0,2.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,
